Nr.;Anrede;Vorname;Nachname;Stadt;Alter;Bundesland
237;Frau;Joana;Hauber;Neunkirchen;33;Rheinland-Pfalz
238;Frau;Pius;Klabunde;Ingelheim am Rhein;56;Rheinland-Pfalz
239;k.A.;Mirja;Konietzko;Embsen;63;Niedersachsen
240;Herr;Silvana;Beste;Menden;38;Nordrhein-Westfalen
241;Frau;Hartlieb;Janz;Süderstapel;24;Schleswig-Holstein
242;Frau;Lindmar;Hug;Ebergötzen;51;Niedersachsen
243;Herr;Johann;Schweizer;Memmelsdorf;92;Bayern
244;Frau;Annehild;Autenrieth;Dornhan;04;Baden-Württemberg
245;Herr;Ernestine;Pöschl;Eschach;47;Baden-Württemberg
246;Frau;Gertwin;Christiansen;Unterroth;82;Bayern
247;Frau;Maximiliane;Polat;Cham;83;Bayern
248;Frau;Emeram;Braun;Eichendorf;01;Bayern
249;Herr;Friedlies;Wald;Offenburg;32;Baden-Württemberg
250;Herr;Friedlies;Meier;Bischdorf;50;Brandenburg
251;k.A.;Volkhardt;Renn;Wiernsheim;44;Baden-Württemberg
252;Frau;Trinchen;Küsters;Grundhof;02;Baden-Württemberg
253;Herr;Sigishelm;Rohe;Korlingen;08;Rheinland-Pfalz
254;Herr;Rosmarie;Vester;Edermünde;48;Hessen
255;Herr;Gundela;Schellhorn;Bad Abbach;13;Bayern
256;Herr;Burkardt;Jährling;Schwerte;99;Nordrhein-Westfalen
257;Herr;Desiree;Jurk;Warthausen;05;Baden-Württemberg
258;Herr;Sibylle;Homuth;Salm;23;Rheinland-Pfalz
259;Frau;Eginhardt;Hild;Staufen;58;Baden-Württemberg
260;k.A.;Herwiga;Häussler;Hessisch Oldendorf;44;Niedersachsen
261;Herr;Siegberta;Fitschen;Kröppen;49;Rheinland-Pfalz
262;Frau;Dorina;Daun;Altleiningen;59;Rheinland-Pfalz
263;Herr;Nicole;Julius;Schwedt;07;Brandenburg
264;Frau;Mayk;Wrage;Vollersode;33;Niedersachsen
265;Frau;Allmar;Blunk;Wattenbek;96;Schleswig-Holstein
266;Frau;Wladislaus;Respondek;Guderhandviertel;47;Niedersachsen
267;Frau;Helmuth;Umlauf;Wittstock;19;Brandenburg
268;k.A.;Hildtraud;Schönfelder;Gevenich;07;Rheinland-Pfalz
269;Frau;Joseph;Gierse;Ingoldingen;50;Baden-Württemberg
270;Frau;Max;Arzt;Hannover;96;Niedersachsen
271;k.A.;Marcel;Angermeier;Finnentrop;94;Nordrhein-Westfalen
272;Herr;Raimer;Bergbauer;Rudelzhausen;79;Bayern
273;Herr;Melitta;Tempel;Lirstal;26;Rheinland-Pfalz
274;k.A.;Julien;Wohlrab;Borsfleth;34;Schleswig-Holstein
275;Frau;Christward;Schultz;Velden;88;Bayern
276;Herr;Berna;Zuschuss;Drees;00;Rheinland-Pfalz
277;Herr;Annemargret;Popovic;Neuhof;48;Niedersachsen
278;Herr;Diethardt;Kautz;Röttenbach;35;Bayern
279;Herr;Pascal;Stelzer;Kaiserslautern;41;Rheinland-Pfalz
280;Frau;Luitgart;Elsholz;Schömberg;02;Baden-Württemberg
281;Frau;Goswin;Ramsey;Bopfingen;80;Baden-Württemberg
282;Herr;Siegert;Black;Ebertsheim;99;Rheinland-Pfalz
283;Frau;Mariele;Littmann;Staffhorst;11;Niedersachsen
284;Herr;Bertha;Michalski;Eisenach;87;Rheinland-Pfalz
285;k.A.;Jannine;Averbeck;Oberstreit;40;Rheinland-Pfalz
286;k.A.;Herwig;Lipinski;Wetzlar;60;Hessen
287;Herr;Gerritdina;Feicht;Bremen;21;Bremen
288;Frau;Aylin;Mindermann;Delmenhorst;39;Niedersachsen
289;Herr;Angelika;Demirci;Valwig;99;Rheinland-Pfalz
290;Herr;Treufried;Polat;Emmendingen;15;Baden-Württemberg
291;Frau;Gunthild;Stolp;Illerkirchberg;34;Baden-Württemberg
292;k.A.;Birghild;Dauner;Wilstedt;46;Niedersachsen
293;Frau;Margitte;Gustke;Eschach;29;Baden-Württemberg
294;k.A.;Melanie;Langbehn;Krefeld;74;Nordrhein-Westfalen
295;Herr;Lotti;Sieben;Kerschenbach;66;Rheinland-Pfalz
296;Herr;Helfred;Schmieder;Ailertchen;86;Rheinland-Pfalz
297;Frau;Pauline;Pospiech;Brauweiler;81;Rheinland-Pfalz
298;k.A.;Hedda;Fecht;Gottfrieding;57;Bayern
299;Frau;Liam;Borkenhagen;Römerstein;62;Baden-Württemberg
300;k.A.;Germo;Hoffman;Betzendorf;87;Niedersachsen
301;Frau;Biggi;Draheim;Neunkirchen am Sand;24;Bayern
302;Frau;Heinrich;Morgner;Berlingen;52;Rheinland-Pfalz
303;Herr;Chantall;Karakas;Mietingen;98;Baden-Württemberg
304;Herr;Just;Leonard;Viernheim;29;Hessen
305;k.A.;Christhardt;Spinner;Lapitz;43;Mecklenburg-Vorpommern
306;Herr;Gottholde;Wißmann;Ludwigsburg;65;Baden-Württemberg
307;Herr;Markwart;Frick;Göttingen;42;Niedersachsen
308;Frau;Gritta;Bartel;Seebenau;99;Sachsen-Anhalt
309;Frau;Elwine;Eckhardt;Talling;30;Rheinland-Pfalz
310;Frau;Röschen;Eickmann;Pöttmes;68;Bayern
311;Frau;Resi;Sell;Borkum;43;Niedersachsen
312;Herr;Haimo;Lüneburg;Teterow;11;Mecklenburg-Vorpommern
313;Frau;Manfred;Werner;Borstel-Hohenraden;30;Schleswig-Holstein
314;Herr;Artur;Manz;Gessertshausen;46;Bayern
315;Frau;Mona;Stapelfeldt;Neichen;33;Rheinland-Pfalz
316;Frau;Emmy;Williamson;Iserlohn;86;Nordrhein-Westfalen
317;Herr;Kjell;Schünemann;Wilhelmshaven;15;Niedersachsen
318;Herr;Isolde;Worms;Dillenburg;57;Hessen
319;Herr;Cindy;Welling;Gummersbach;36;Nordrhein-Westfalen
320;Frau;Reinmar;Jung;Hackenheim;77;Rheinland-Pfalz
321;Frau;Gerold;Stieber;Ergenzingen;63;Baden-Württemberg
322;Herr;Rudolph;Niederberger;Dedelstorf;02;Niedersachsen
323;Herr;Emilie;Quick;Kutenholz;39;Niedersachsen
324;k.A.;Gernulf;Brendler;Nachtsheim;59;Rheinland-Pfalz
325;Frau;Otwald;Königer;Ottenhofen;36;Bayern
326;Frau;Annegrete;Beermann;Winterscheid;44;Rheinland-Pfalz
327;Frau;Celine;Raible;Mettmann;21;Nordrhein-Westfalen
328;Frau;Knut;Stallmann;Filz;17;Rheinland-Pfalz
329;Frau;Schwanhild;Rühling;Burrweiler;84;Rheinland-Pfalz
330;Herr;Jannis;Gashi;Vollmersweiler;67;Rheinland-Pfalz
331;Frau;Connor;Rhein;Möglingen;88;Baden-Württemberg
332;Herr;Helena;Joschko;Riegelsberg;61;Saarland
333;Herr;Stanislaus;Blöchl;Hagen;44;Nordrhein-Westfalen
334;Herr;Gerburg;Göpel;Farchant;28;Bayern
335;Frau;Florentius;Röwer;Winterbach;70;Rheinland-Pfalz
336;Herr;Arnold;Spittler;Twedt;81;Schleswig-Holstein
337;Herr;Ralf;Mensch;Waldkappel;21;Hessen
338;Herr;Markwart;Peper;Haste;26;Niedersachsen
339;Herr;Herfried;Dornbusch;Tangstedt;59;Schleswig-Holstein
340;Herr;Hermelinde;Lautner;Güglingen;27;Baden-Württemberg
341;Frau;Berna;Kiener;Raesfeld;48;Nordrhein-Westfalen
342;Herr;Dethard;Kaune;Schüttorf;15;Niedersachsen
343;Herr;Gitta;Huhn;Münsterdorf;26;Schleswig-Holstein
344;k.A.;Burgfried;Siemens;Eichelhardt;18;Rheinland-Pfalz
345;Herr;Herwiga;Erdogan;Wallertheim;57;Rheinland-Pfalz
346;Herr;Withold;Pfuhl;Icking;76;Bayern
347;Frau;Steve;Mattern;Weddingstedt;31;Schleswig-Holstein
348;Frau;Raimer;Hellwig;Duisburg;40;Nordrhein-Westfalen
349;Frau;Rezzo;Karius;Gelsenkirchen;61;Nordrhein-Westfalen
350;Frau;Kathrinchen;Mederer;Winnenden;00;Baden-Württemberg
351;Frau;Roselore;Hupfeld;Hosten;28;Rheinland-Pfalz
352;Herr;Holger;Wallis;Albig;76;Rheinland-Pfalz
353;k.A.;Altraud;Hupfeld;Roggenstorf;62;Mecklenburg-Vorpommern
354;k.A.;Isabella;Aden;Kaltenengers;74;Rheinland-Pfalz
355;Herr;Heinz;Lenger;Magdeburg;05;Sachsen-Anhalt
356;Herr;Doritha;Krahmer;Braunschweig;97;Niedersachsen
357;Frau;Margareta;Reißmann;Dillingen;63;Saarland
358;Herr;Lidia;Biersack;Perscheid;91;Rheinland-Pfalz
359;Frau;Frowin;Flohr;München;41;Bayern
360;Frau;Maike;Schulte;Stipshausen;38;Rheinland-Pfalz
361;Herr;Lukas;Hamilton;Nanzdietschweiler;01;Rheinland-Pfalz
362;Herr;Korbinian;Schmidtchen;Lieser;63;Rheinland-Pfalz
363;Herr;Götz;Regner;Karrenzin;91;Mecklenburg-Vorpommern
364;Frau;Hartlieb;Eilts;Mönchberg;90;Bayern
365;Frau;Hermelinde;Lindsey;Engelsberg;39;Bayern
366;Herr;Ida;Meissner;Hainburg;83;Hessen
367;Herr;Anastasia;Tippmann;Göttin;83;Schleswig-Holstein
368;Herr;Wastl;Lyons;Seinsfeld;00;Rheinland-Pfalz
369;Herr;Andree;Kohnert;Krautheim;33;Baden-Württemberg
370;Frau;Lydia;Stellmach;Münchhausen;18;Brandenburg
371;Frau;Lily;Gerigk;Willich;46;Nordrhein-Westfalen
372;Herr;Erhard;Louis;Münstermaifeld;92;Rheinland-Pfalz
373;Frau;Caja;Dietsche;Geltendorf;76;Bayern
374;Frau;Helrike;Plett;Wershofen;76;Rheinland-Pfalz
375;k.A.;Charlotte;Steinhilber;Thür;32;Rheinland-Pfalz
376;Frau;Annetraude;Neurath;Hannover;07;Niedersachsen
377;Frau;Marlon;Wilms;Ahlen;18;Nordrhein-Westfalen
378;Herr;Randolph;Leng;Gutow;63;Mecklenburg-Vorpommern
379;Herr;Otwin;Schuff;Niedermoschel;60;Rheinland-Pfalz
380;Frau;Karlgeorg;Deters;Kraftisried;58;Bayern
381;Frau;Gundel;Beitz;Schotten;73;Hessen
382;Frau;Regelindis;Knopp;Moosbach;36;Bayern
383;Herr;Helrike;Kubitz;Erdesbach;80;Rheinland-Pfalz
384;Frau;Edelfried;Wehmeyer;Dornburg;04;Hessen
385;Herr;Claudius;Lenger;Bernhalden;66;Baden-Württemberg
386;Frau;Randolph;Prahl;Wallendorf;85;Rheinland-Pfalz
387;Frau;Roslinde;Köhnlein;Kalkar;40;Nordrhein-Westfalen
388;Herr;Edwine;Hecker;Senden;87;Nordrhein-Westfalen
389;Frau;Kriemhilde;Szabo;Hattingen an der Ruhr;34;Nordrhein-Westfalen
390;Frau;Bennett;Nadolny;Sachsenkam;50;Bayern
391;Herr;Engelhardt;Kirchberg;Rehe;23;Rheinland-Pfalz
392;Frau;Ermelinde;Böning;Kentzlin;02;Mecklenburg-Vorpommern
393;Frau;Emmeram;Gündüz;Oberwambach;39;Rheinland-Pfalz
394;Frau;Wolfgang;Gerbig;Wallhalben;83;Rheinland-Pfalz
